date,dominant
2004-01-05,M0405
2004-01-06,M0405
2004-01-07,M0405
2004-01-08,M0405
2004-01-09,M0405
2004-01-12,M0405
2004-01-13,M0405
2004-01-14,M0405
2004-01-15,M0405
2004-01-16,M0405
2004-01-29,M0405
2004-01-30,M0405
2004-02-02,M0405
2004-02-03,M0405
2004-02-04,M0405
2004-02-05,M0405
2004-02-06,M0405
2004-02-09,M0405
2004-02-10,M0405
2004-02-11,M0405
2004-02-12,M0405
2004-02-13,M0405
2004-02-16,M0405
2004-02-17,M0405
2004-02-18,M0405
2004-02-19,M0405
2004-02-20,M0405
2004-02-23,M0405
2004-02-24,M0405
2004-02-25,M0405
2004-02-26,M0405
2004-02-27,M0405
2004-03-01,M0405
2004-03-02,M0405
2004-03-03,M0408
2004-03-04,M0408
2004-03-05,M0408
2004-03-08,M0408
2004-03-09,M0408
2004-03-10,M0408
2004-03-11,M0408
2004-03-12,M0408
2004-03-15,M0408
2004-03-16,M0408
2004-03-17,M0408
2004-03-18,M0408
2004-03-19,M0408
2004-03-22,M0408
2004-03-23,M0408
2004-03-24,M0408
2004-03-25,M0408
2004-03-26,M0408
2004-03-29,M0408
2004-03-30,M0408
2004-03-31,M0408
2004-04-01,M0408
2004-04-02,M0408
2004-04-05,M0408
2004-04-06,M0408
2004-04-07,M0408
2004-04-08,M0408
2004-04-09,M0408
2004-04-12,M0408
2004-04-13,M0408
2004-04-14,M0408
2004-04-15,M0408
2004-04-16,M0408
2004-04-19,M0408
2004-04-20,M0408
2004-04-21,M0408
2004-04-22,M0408
2004-04-23,M0408
2004-04-26,M0408
2004-04-27,M0408
2004-04-28,M0408
2004-04-29,M0408
2004-04-30,M0408
2004-05-10,M0408
2004-05-11,M0408
2004-05-12,M0408
2004-05-13,M0409
2004-05-14,M0409
2004-05-17,M0409
2004-05-18,M0409
2004-05-19,M0409
2004-05-20,M0409
2004-05-21,M0409
2004-05-24,M0409
2004-05-25,M0409
2004-05-26,M0409
2004-05-27,M0409
2004-05-28,M0409
2004-05-31,M0409
2004-06-01,M0409
2004-06-02,M0409
2004-06-03,M0409
2004-06-04,M0409
2004-06-07,M0409
2004-06-08,M0409
2004-06-09,M0409
2004-06-10,M0409
2004-06-11,M0409
2004-06-14,M0409
2004-06-15,M0409
2004-06-16,M0409
2004-06-17,M0409
2004-06-18,M0409
2004-06-21,M0409
2004-06-22,M0409
2004-06-23,M0409
2004-06-24,M0409
2004-06-25,M0409
2004-06-28,M0409
2004-06-29,M0409
2004-06-30,M0409
2004-07-01,M0409
2004-07-02,M0409
2004-07-05,M0409
2004-07-06,M0409
2004-07-07,M0409
2004-07-08,M0409
2004-07-09,M0409
2004-07-12,M0409
2004-07-13,M0409
2004-07-14,M0409
2004-07-15,M0409
2004-07-16,M0409
2004-07-19,M0409
2004-07-20,M0409
2004-07-21,M0409
2004-07-22,M0409
2004-07-23,M0409
2004-07-26,M0409
2004-07-27,M0409
2004-07-28,M0409
2004-07-29,M0409
2004-07-30,M0409
2004-08-02,M0409
2004-08-03,M0409
2004-08-04,M0409
2004-08-05,M0409
2004-08-06,M0409
2004-08-09,M0409
2004-08-10,M0409
2004-08-11,M0409
2004-08-12,M0409
2004-08-13,M0409
2004-08-16,M0409
2004-08-17,M0409
2004-08-18,M0409
2004-08-19,M0409
2004-08-20,M0409
2004-08-23,M0409
2004-08-24,M0409
2004-08-25,M0409
2004-08-26,M0409
2004-08-27,M0411
2004-08-30,M0411
2004-08-31,M0411
2004-09-01,M0411
2004-09-02,M0411
2004-09-03,M0411
2004-09-06,M0411
2004-09-07,M0411
2004-09-08,M0501
2004-09-09,M0501
2004-09-10,M0501
2004-09-13,M0501
2004-09-14,M0501
2004-09-15,M0501
2004-09-16,M0501
2004-09-17,M0501
2004-09-20,M0501
2004-09-21,M0501
2004-09-22,M0501
2004-09-23,M0501
2004-09-24,M0501
2004-09-27,M0501
2004-09-28,M0501
2004-09-29,M0501
2004-09-30,M0501
2004-10-08,M0501
2004-10-11,M0501
2004-10-12,M0501
2004-10-13,M0501
2004-10-14,M0501
2004-10-15,M0501
2004-10-18,M0501
2004-10-19,M0501
2004-10-20,M0501
2004-10-21,M0501
2004-10-22,M0501
2004-10-25,M0501
2004-10-26,M0501
2004-10-27,M0501
2004-10-28,M0501
2004-10-29,M0501
2004-11-01,M0501
2004-11-02,M0501
2004-11-03,M0501
2004-11-04,M0501
2004-11-05,M0501
2004-11-08,M0501
2004-11-09,M0501
2004-11-10,M0501
2004-11-11,M0501
2004-11-12,M0501
2004-11-15,M0501
2004-11-16,M0501
2004-11-17,M0501
2004-11-18,M0501
2004-11-19,M0501
2004-11-22,M0501
2004-11-23,M0501
2004-11-24,M0501
2004-11-25,M0501
2004-11-26,M0501
2004-11-29,M0501
2004-11-30,M0501
2004-12-01,M0501
2004-12-02,M0501
2004-12-03,M0501
2004-12-06,M0505
2004-12-07,M0505
2004-12-08,M0505
2004-12-09,M0505
2004-12-10,M0505
2004-12-13,M0505
2004-12-14,M0505
2004-12-15,M0505
2004-12-16,M0505
2004-12-17,M0505
2004-12-20,M0505
2004-12-21,M0505
2004-12-22,M0505
2004-12-23,M0505
2004-12-24,M0505
2004-12-27,M0505
2004-12-28,M0505
2004-12-29,M0505
2004-12-30,M0505
2004-12-31,M0505
2005-01-04,M0505
2005-01-05,M0505
2005-01-06,M0505
2005-01-07,M0505
2005-01-10,M0505
2005-01-11,M0505
2005-01-12,M0505
2005-01-13,M0505
2005-01-14,M0505
2005-01-17,M0505
2005-01-18,M0505
2005-01-19,M0505
2005-01-20,M0505
2005-01-21,M0505
2005-01-24,M0505
2005-01-25,M0505
2005-01-26,M0505
2005-01-27,M0505
2005-01-28,M0505
2005-01-31,M0505
2005-02-01,M0505
2005-02-02,M0505
2005-02-03,M0505
2005-02-04,M0505
2005-02-16,M0505
2005-02-17,M0505
2005-02-18,M0505
2005-02-21,M0505
2005-02-22,M0505
2005-02-23,M0505
2005-02-24,M0505
2005-02-25,M0505
2005-02-28,M0505
2005-03-01,M0505
2005-03-02,M0505
2005-03-03,M0505
2005-03-04,M0505
2005-03-07,M0505
2005-03-08,M0505
2005-03-09,M0505
2005-03-10,M0505
2005-03-11,M0505
2005-03-14,M0505
2005-03-15,M0505
2005-03-16,M0505
2005-03-17,M0508
2005-03-18,M0508
2005-03-21,M0508
2005-03-22,M0508
2005-03-23,M0508
2005-03-24,M0508
2005-03-25,M0508
2005-03-28,M0508
2005-03-29,M0508
2005-03-30,M0508
2005-03-31,M0508
2005-04-01,M0508
2005-04-04,M0508
2005-04-05,M0508
2005-04-06,M0508
2005-04-07,M0508
2005-04-08,M0508
2005-04-11,M0508
2005-04-12,M0508
2005-04-13,M0508
2005-04-14,M0508
2005-04-15,M0508
2005-04-18,M0508
2005-04-19,M0508
2005-04-20,M0508
2005-04-21,M0508
2005-04-22,M0508
2005-04-25,M0508
2005-04-26,M0508
2005-04-27,M0508
2005-04-28,M0508
2005-04-29,M0508
2005-05-09,M0508
2005-05-10,M0508
2005-05-11,M0508
2005-05-12,M0508
2005-05-13,M0508
2005-05-16,M0508
2005-05-17,M0508
2005-05-18,M0508
2005-05-19,M0508
2005-05-20,M0508
2005-05-23,M0508
2005-05-24,M0508
2005-05-25,M0508
2005-05-26,M0508
2005-05-27,M0508
2005-05-30,M0508
2005-05-31,M0508
2005-06-01,M0508
2005-06-02,M0508
2005-06-03,M0508
2005-06-06,M0508
2005-06-07,M0508
2005-06-08,M0508
2005-06-09,M0508
2005-06-10,M0508
2005-06-13,M0508
2005-06-14,M0508
2005-06-15,M0508
2005-06-16,M0508
2005-06-17,M0508
2005-06-20,M0508
2005-06-21,M0509
2005-06-22,M0509
2005-06-23,M0509
2005-06-24,M0509
2005-06-27,M0509
2005-06-28,M0509
2005-06-29,M0509
2005-06-30,M0509
2005-07-01,M0509
2005-07-04,M0509
2005-07-05,M0509
2005-07-06,M0509
2005-07-07,M0509
2005-07-08,M0509
2005-07-11,M0509
2005-07-12,M0509
2005-07-13,M0509
2005-07-14,M0509
2005-07-15,M0509
2005-07-18,M0509
2005-07-19,M0509
2005-07-20,M0509
2005-07-21,M0509
2005-07-22,M0509
2005-07-25,M0509
2005-07-26,M0509
2005-07-27,M0509
2005-07-28,M0509
2005-07-29,M0509
2005-08-01,M0509
2005-08-02,M0509
2005-08-03,M0511
2005-08-04,M0511
2005-08-05,M0511
2005-08-08,M0511
2005-08-09,M0511
2005-08-10,M0511
2005-08-11,M0511
2005-08-12,M0511
2005-08-15,M0511
2005-08-16,M0511
2005-08-17,M0511
2005-08-18,M0511
2005-08-19,M0511
2005-08-22,M0511
2005-08-23,M0511
2005-08-24,M0511
2005-08-25,M0511
2005-08-26,M0511
2005-08-29,M0511
2005-08-30,M0511
2005-08-31,M0511
2005-09-01,M0511
2005-09-02,M0511
2005-09-05,M0511
2005-09-06,M0601
2005-09-07,M0601
2005-09-08,M0601
2005-09-09,M0601
2005-09-12,M0601
2005-09-13,M0601
2005-09-14,M0601
2005-09-15,M0601
2005-09-16,M0601
2005-09-19,M0601
2005-09-20,M0601
2005-09-21,M0601
2005-09-22,M0601
2005-09-23,M0601
2005-09-26,M0601
2005-09-27,M0601
2005-09-28,M0601
2005-09-29,M0601
2005-09-30,M0601
2005-10-10,M0601
2005-10-11,M0601
2005-10-12,M0601
2005-10-13,M0601
2005-10-14,M0601
2005-10-17,M0601
2005-10-18,M0601
2005-10-19,M0601
2005-10-20,M0601
2005-10-21,M0601
2005-10-24,M0601
2005-10-25,M0601
2005-10-26,M0605
2005-10-27,M0605
2005-10-28,M0605
2005-10-31,M0605
2005-11-01,M0605
